mere,単に。ただ、単なる。,たんに。ただ、たんなる。
result,行動や出来事から生じる結果。意図されたものや予想外の結果も含みます。,こうどうやできごとからしょうじるけっか。いとされたものやよそうがいのけっかもふくみます。
Beyond,範囲や限界を超えて,はんいやげんかいをこえて
illusion,幻覚、錯覚、見間違い,げんかく、さっかく、みまちがい
compliment,褒め言葉、称賛の表現。,ほめことば、しょうさんのひょうげん。
adversely,不利に、悪影響を与えて、反対に。,ふりに、あくえいきょうをあたえて、はんたいに。
hyperparameter,ハイパーパラメータ。学習アルゴリズムの制御パラメータ。,はいぱーぱらめーた。がくしゅうあるごりずむのせいぎょぱらめーた。
balance of power,勢力均衡。国際関係における力関係のバランスを指す重要な概念。,せいりょくきんこう。こくさいかんけいにおけるちからかんけいのばらんすをさすじゅうようながいねん。
distant,距離が遠い、隔たっている。,きょりがとおい、へだたっている。
due,納期の、期限の、予定された。特にdue date(締切日)、due to(～が原因で)という使い方が一般的。,のうきの、きげんの、よていされた。とくにdue date(しめきりび)、due to(~がげんいんで)というつかいかたがいっぱんてき。
encouraged,奨励した、励ました、勇気づけた。,しょうれいした、はげました、ゆうきづけた。
sequence,連続、連鎖的な流れ,れんぞく、れんさてきなながれ
marble,石材として使われる滑らかで硬い大理石。,せきざいとしてつかわれるなめらかでかたいだいりせき。
everywhere,至る所に、どこでも。すべての場所を指す表現。,いたるところに、どこでも。すべてのばしょをさすひょうげん。
probably,おそらく、多分。,おそらく、たぶん。
terrible,ひどい、恐ろしい。非常に悪い状況や、恐怖を引き起こすものを指します。,ひどい、おそろしい。ひじょうにわるいじょうきょうや、きょうふをひきおこすものをさします。
injury,怪我、損傷、被害,けが、そんしょう、ひがい
complaint,苦情。満足していないことを表明する不平や文句を意味します。,くじょう。まんぞくしていないことをひょうめいするふへいやもんくをいみします。
stitch,縫い目、一針,ぬいめ、いちはり
victim,被害にあった人。,ひがいにあったにん。
pray,神に祈りを捧げる。,かみにいのりをささげる。
struggle,困難に立ち向かう努力。,こんなんにたちむかうどりょく。
chew,食べ物などを口で噛む。,たべものなどをくちでかむ。
amount,量、総額。large amount(多量)、amount of money(金額)など。,りょう、そうがく。large amount(たりょう)、amount of money(きんがく)など。
beforehand,あらかじめ、事前に準備すること。,あらかじめ、じぜんにじゅんびすること。
bankrupt,破産した、支払不能の、破産者。,はさんした、しはらいふのうの、はさんしゃ。
fragment,破片、断片、欠片,はへん、だんぺん、かけら
interact,人々が相互に影響し合う,ひとびとがそうごにえいきょうしあう
economic bloc,経済圏。経済的に結びついた国々のグループ。,けいざいけん。けいざいてきにむすびついたくにぐにのぐるーぷ。
illness,病気、疾病、体調不良。,びょうき、しっぺい、たいちょうふりょう。
unfair,公平でない、不公平な扱い。,こうへいでない、ふこうへいなあつかい。
moan,うめき声、苦痛の声,うめきこえ、くつうのこえ
medieval,中世に関連する、古代の時代。,ちゅうせいにかんれんする、こだいのじだい。
habit,習慣、癖。繰り返し行う行動やパターン。,しゅうかん、くせ。くりかえしおこなうこうどうやぱたーん。
fierce,強烈で激しい様子、凶暴な性質。,きょうれつではげしいようす、きょうぼうなせいしつ。
stadium,大規模なスポーツ競技場,だいきぼなすぽーつきょうぎじょう
availability,利用可能性、入手可能性。,りようかのうせい、にゅうしゅかのうせい。
development,開発、成長、発展段階,かいはつ、せいちょう、はってんだんかい
hedge,垣根、防止策としての措置。,かきね、ぼうしさくとしてのそち。
capstone,絶頂、最高峰。achievementや経験の集大成を表す。また、建築用語で「要石」の意味も。,ぜっちょう、さいこうほう。achievementやけいけんのしゅうたいせいをあらわす。また、けんちくようごで「かなめいし」のいみも。
long-term,長期的な計画や視野。,ちょうきてきなけいかくやしや。
missing,喪失、不明。あるものが存在しない、または場所が分からないこと。例 a missing person(行方不明の人),そうしつ、ふめい。あるものがそんざいしない、またはばしょがわからないこと。れい a missing person(ゆくえふめいのにん)
territory,領土、地域、分野,りょうど、ちいき、ぶんや
porch,家の玄関先の屋根付き通路,いえのげんかんさきのやねづけきつうろ
absent,欠席している、いない状態。,けっせきしている、いないじょうたい。
deploy,兵力や資源を展開、配置すること。,へいりょくやしげんをてんかい、はいちすること。
appearance,外見、視覚的印象。,がいけん、しかくてきいんしょう。
peer,同等の立場の人、仲間,どうとうのたちばのにん、なかま
regular,通常の、あるいは特別ではない普通の状態。,つうじょうの、あるいはとくべつではないふつうのじょうたい。
keep up with,～に遅れずについていく。「最新技術の進歩についていくのは大変だ」などの文脈で。,~におくれずについていく。「さいしんぎじゅつのしんぽについていくのはたいへんだ」などのぶんみゃくで。
immensely,非常に大きいこと、莫大に。,ひじょうにおおきいこと、ばくだいに。
market,商品が売買される場所。,しょうひんがばいばいされるばしょ。
innovative,革新的な、新機軸の。新しいアイデアや方法を導入する。,かくしんてきな、しんきじくの。あたらしいあいであやほうほうをどうにゅうする。
pastime,娯楽、暇つぶし,ごらく、ひまつぶし
grieve,深く悲しむ、嘆く,ふかくかなしむ、なげく
inflation rate,インフレ率。物価上昇の度合いを示す経済指標。,いんふれりつ。ぶっかじょうしょうのどあいをしめすけいざいしひょう。
fluctuate,変動する。上下に不規則に動く。,へんどうする。じょうげにふきそくにうごく。
fire,解雇する、またはクビにする。雇用契約を終わらせる行為を指します。,かいこする、またはくびにする。こようけいやくをおわらせるこういをさします。
further,それ以上の、追加の。既存のものにさらに加えることを意味します。,それいじょうの、ついかの。きぞんのものにさらにくわえることをいみします。
regularly,一定の間隔で繰り返し行う,いっていのかんかくでくりかえしおこなう
editor,書籍などを編集する人。,しょせきなどをへんしゅうするにん。
ensure,確実にする。何かが確実に起こるように保証する、または安全を確保することを意味します。,かくじつにする。なにかがかくじつにおこるようにほしょうする、またはあんぜんをかくほすることをいみします。
legislature,立法府、議会,りっぽうふ、ぎかい
classify,分類する、区分けする,ぶんるいする、くわけする
narrow,狭い、視野が限られた,せまい、しやがかぎられた
participant,参加者、出場者、関係者。,さんかしゃ、しゅつじょうしゃ、かんけいしゃ。
harvest,収穫、収穫する,しゅうかく、しゅうかくする
tribe,部族、同じ文化を持つ集団,ぶぞく、おなじぶんかをもつしゅうだん
haven,避難所。安全に避難できる場所や、心を落ち着ける場所を指します。,ひなんじょ。あんぜんにひなんできるばしょや、こころをおちつけるばしょをさします。
on the other hand,一方で。,いっぽうで。
restriction,制限、規制、制約。,せいげん、きせい、せいやく。
evaluate,評価する、価値や効果を判断する。,ひょうかする、かちやこうかをはんだんする。
auditorium,講堂。大勢の観客が集まって講演や演奏を聴くための大きな部屋や建物。,こうどう。おおぜいのかんきゃくがあつまってこうえんやえんそうをきくためのおおきなへややたてもの。
spread,広げる、あるいは拡大する。影響範囲や物理的な範囲を増やすことを指します。,ひろげる、あるいはかくだいする。えいきょうはんいやぶつりてきなはんいをふやすことをさします。
treasury,国庫、財務省,こっこ、ざいむしょう
depend on,依存する。,いぞんする。
remedy,救済策、治療、解決策。,きゅうさいさく、ちりょう、かいけつさく。
pottery,陶器、焼き物、陶芸,とうき、やきもの、とうげい
although,～だけれども、～にもかかわらず。thoughよりもフォーマルな接続詞。,~だけれども、~にもかかわらず。thoughよりもふぉーまるなせつぞくし。
election,選挙、投票,せんきょ、とうひょう
accomplishment,達成、成果、技能習得,たっせい、せいか、ぎのうしゅうとく
palm,手のひら、ヤシの木,てのひら、やしのき
meanwhile,一方で。その間に、一方では。,いっぽうで。そのまに、いっぽうでは。
hazard,生命や健康に対する危険。,せいめいやけんこうにたいするきけん。
satisfaction,満足。要求や期待が満たされたときに感じる喜びや充足感。,まんぞく。ようきゅうやきたいがみたされたときにかんじるよろこびやじゅうそくかん。
transferable,譲渡可能な、移転できる,じょうとかのうな、いてんできる
improve,改善する、より良くする。状況や状態を向上させることを意味します。,かいぜんする、よりよくする。じょうきょうやじょうたいをこうじょうさせることをいみします。
graceful,美しく優雅に動く様子。,うつくしくゆうがにうごくようす。
intrigued,興味や好奇心を引かれる。,きょうみやこうきしんをひかれる。
consignment,委託販売、託送品,いたくはんばい、たくそうひん
undesirable,望ましくない、好ましくない状況。,のぞましくない、このましくないじょうきょう。
deregulation,規制の撤廃・緩和,きせいのてっぱい・かんわ
definitely,間違いなく。疑いの余地がなく、確実であることを強調する副詞。,まちがいなく。うたがいのよちがなく、かくじつであることをきょうちょうするふくし。
bribe,賄賂、わいろ,わいろ、わいろ
designer,設計者、特定の作品や商品をデザインする人。,せっけいしゃ、とくていのさくひんやしょうひんをでざいんするにん。
takeoff,航空機の離陸。,こうくうきのりりく。
antitrust,独占禁止の,どくせんきんしの
encourage,奨励する。相手に対して特定の行動をとるように勧めたり、支持したりすることを意味します。,しょうれいする。あいてにたいしてとくていのこうどうをとるようにすすめたり、しじしたりすることをいみします。
amendment,修正、改正、改善,しゅうせい、かいせい、かいぜん
fascinating,魅惑的な、心を引きつける、興味深い。,みわくてきな、こころをひきつける、きょうみぶかい。
unforeseen,想定外の、予測できなかった事態。,そうていそとの、よそくできなかったじたい。
productivity,生産性、生産力。効率的に成果を上げる能力。,せいさんせい、せいさんりょく。こうりつてきにせいかをあげるのうりょく。
prompted,促された、刺激された,うながされた、しげきされた
single,一つのもの、または独身。,ひとつのもの、またはどくしん。
scheme,計画、構想、策略。,けいかく、こうそう、さくりゃく。
past,過去の。以前の、またはすでに終わったことを指します。例 in the past(過去に),かこの。いぜんの、またはすでにおわったことをさします。れい in the past(かこに)
inner,中心または内部の部分。,ちゅうしんまたはないぶのぶぶん。
scalability,スケーラビリティ。システムの拡張性や規模拡大への対応能力。,すけーらびりてぃ。しすてむのかくちょうせいやきぼかくだいへのたいおうのうりょく。
reliable,信頼できる。安定して期待通りの結果を提供することができるものや人を指します。,しんらいできる。あんていしてきたいどおりのけっかをていきょうすることができるものやにんをさします。
terminate,終了する、打ち切る,しゅうりょうする、うちきる
suburb,都市の周辺地域。,としのしゅうへんちいき。
unpredictable,予測不能な、変わりやすい,よそくふのうな、かわりやすい
elementary,基本的な、初歩的な,きほんてきな、しょほてきな
comply,準拠する、従う。規則や要求に従って行動すること。,じゅんきょする、したがう。きそくやようきゅうにしたがってこうどうすること。
though,～だけれども。althoughよりもカジュアルな表現。,~だけれども。althoughよりもかじゅあるなひょうげん。
heal,治す、癒す、回復する,なおす、いやす、かいふくする
cathedral,ゴシック様式の大聖堂,ごしっくようしきのだいせいどう
bug,虫、プログラムの不具合,むし、ぷろぐらむのふぐあい
indicate,を示す。何かの存在や状態を明示する、または表現することを意味します。,をしめす。なにかのそんざいやじょうたいをめいじする、またはひょうげんすることをいみします。
divorce,離婚、夫婦関係の解消,りこん、ふうふかんけいのかいしょう
diplomatic channels,外交ルート。国家間の正式なコミュニケーション経路を指す。,がいこうるーと。こっかかんのせいしきなこみゅにけーしょんけいろをさす。
slip,すべる、こっそり行く、過失,すべる、こっそりいく、かしつ
carbon,炭素、炭素原子、カーボン。,たんそ、たんそげんし、かーぼん。
senator,上院議員(米国など),じょういんぎいん(べいこくなど)
republic,市民による政治体制。,しみんによるせいじたいせい。
attain,目標を達成すること。,もくひょうをたっせいすること。
confrontation,対立や対決の場面、直面すること。,たいりつやたいけつのばめん、ちょくめんすること。
equipment,装置、設備、機器。,そうち、せつび、きき。
remuneration,労働に対する報酬,ろうどうにたいするほうしゅう
spectrum,光の波長の範囲。,ひかりのはちょうのはんい。
expert,その分野の専門家、達人,そのぶんやのせんもんか、たつじん
healthy,健康的な、元気な,けんこうてきな、げんきな
detailed,詳細な、綿密な。細かい部分まで行き届いた。,しょうさいな、めんみつな。こまかいぶぶんまでいきとどいた。
ceremony,儀式、式典、セレモニー,ぎしき、しきてん、せれもにー
despise,軽蔑する、見下す,けいべつする、みくだす
initially,最初に、当初は。物事の開始時点や初期段階において。,さいしょに、とうしょは。ものごとのかいしじてんやしょきだんかいにおいて。
result in,〜という結果になる。,〜というけっかになる。
exclude,グループから排除。,ぐるーぷからはいじょ。
ivory,象の牙から得られる高価な白い素材。,ぞうのきばからえられるこうかなしろいそざい。
shape,物の形や作り。,もののかたちやつくり。
epidemic,伝染病の、流行性の,でんせんびょうの、りゅうこうせいの
dirt,土、汚れ、埃,つち、よごれ、ほこり
merger,合併。二つの会社が一つになること。,がっぺい。ふたつのかいしゃがひとつになること。
resident,住民。特定の場所や地域に住んでいる人を指します。,じゅうみん。とくていのばしょやちいきにすんでいるにんをさします。
firm,固い、または企業。しっかりとした性質を持つ物や、事業を行う組織を指します。,かたい、またはきぎょう。しっかりとしたせいしつをもつものや、じぎょうをおこなうそしきをさします。
urge,強く勧める、切望する,つよくすすめる、せつぼうする
speculation,推測、情報が不十分な中での考察。,すいそく、じょうほうがふじゅうぶんななかでのこうさつ。
efficiently,効率的に。少ない時間や資源で効果的に成果を上げる方法で行うことを意味します。,こうりつてきに。すくないじかんやしげんでこうかてきにせいかをあげるほうほうでおこなうことをいみします。
asset,資産、所有する価値のあるもの。,しさん、しょゆうするかちのあるもの。
manufacturer,製造者、製造会社。製品を作る企業や個人。,せいぞうしゃ、せいぞうがいしゃ。せいひんをつくるきぎょうやこじん。
flexible,柔軟な、融通の利く,じゅうなんな、ゆうづうのきく
gloomy,憂鬱な、陰気な、暗い,ゆううつな、いんきな、くらい
secretary,秘書、書記。personal secretary(個人秘書)、secretary general(事務総長)など。,ひしょ、しょき。personal secretary(こじんひしょ)、secretary general(じむそうちょう)など。
business card,名刺、連絡先カード。,めいし、れんらくさきかーど。
home appliances,家電製品、生活家電,かでんせいひん、せいかつかでん
exposure,露出、暴露、経験,ろしゅつ、ばくろ、けいけん
extreme,極端な、過度な。通常の範囲を超えた状態。,きょくたんな、かどな。つうじょうのはんいをこえたじょうたい。
diagnose,症状を見極め判断。,しょうじょうをみきわめはんだん。
consequently,結果的に。原因や状況から生じる結果を述べる際に使用されます。,けっかてきに。げんいんやじょうきょうからしょうじるけっかをのべるさいにしようされます。
correct,正しい、修正する。間違いがない状態や、誤りを修正して正すことを意味します。,ただしい、しゅうせいする。まちがいがないじょうたいや、あやまりをしゅうせいしてただすことをいみします。
admission,入場、入学、認可,にゅうじょう、にゅうがく、にんか
cab,タクシー、都市での運転手付きの車。,たくしー、としでのうんてんしゅつきのくるま。
agony,ひどい肉体的苦痛。,ひどいにくたいてきくつう。
colony,植民地、集落,しょくみんち、しゅうらく
grasp,しっかり掴む、完全に理解する,しっかりつかむ、かんぜんにりかいする
exceed,超える、上回る,こえる、うわまわる
settlement,移住、入植、決済。,いじゅう、にゅうしょく、けっさい。
timber,建築用の木材。,けんちくようのもくざい。
vendor,供給者。商品やサービスを他の企業や個人に販売する個人や企業。,きょうきゅうもの。しょうひんやさーびすをほかのきぎょうやこじんにはんばいするこじんやきぎょう。
torch,炎を持つ手持ちのたいまつ。,ほのおをもつてもちのたいまつ。
conclude,結論付ける。ある事柄について最終的な判断を下す。,けつろんつける。あることがらについてさいしゅうてきなはんだんをくだす。
summit meeting,首脳会談。国家指導者同士による直接的な会談。,しゅのうかいだん。こっかしどうしゃどうしによるちょくせつてきなかいだん。
unprecedented,前例のない、歴史上初めての,ぜんれいのない、れきしじょうはじめての
link,直接的に結びつくこと。,ちょくせつてきにむすびつくこと。
tremendous,驚異的な、すさまじい。非常に大きいまたは印象的な様子。,きょういてきな、すさまじい。ひじょうにおおきいまたはいんしょうてきなようす。
acquaint,誰かに情報を知らせる。,だれかにじょうほうをしらせる。
complimentary,無料の、招待の、賛辞の、お世辞の。,むりょうの、しょうたいの、さんじの、おせじの。
impress,印象を与える。他人に強い感銘や好ましい印象を残すこと。,いんしょうをあたえる。たにんにつよいかんめいやこのましいいんしょうをのこすこと。
anxiety,不安感、心配事,ふあんかん、しんぱいごと
rarely,めったに～ない、滅多に起こらない。非常に珍しい頻度でしか発生しないこと。,めったに~ない、めったにおこらない。ひじょうにめずらしいひんどでしかはっせいしないこと。
require,必要とする、または求める。,ひつようとする、またはもとめる。
kneel,ひざまずく、跪く,ひざまずく、ひざまづく
completion,完了、終了。タスクや作業が最後まで終わること。,かんりょう、しゅうりょう。たすくやさぎょうがさいごまでおわること。
hasten,急ぐ、促進する,いそぐ、そくしんする
shuttle,定期往復運行する。,ていきおうふくうんこうする。
cavity,空洞、虫歯、くぼみ,くうどう、むしば、くぼみ
interview,面接、インタビュー、会見。,めんせつ、いんたびゅー、かいけん。
fusion,二つ以上が合体すること。,ふたついじょうががったいすること。
revise,改訂する、見直す,かいていする、みなおす
sticky,物質がべたつく性質。,ぶっしつがべたつくせいしつ。
paid,お金を支払った、または支払いが済んだ状態。,おかねをしはらった、またはしはらいがすんだじょうたい。
qualified,資格のある、適格な。必要な能力や資格を持っている。,しかくのある、てきかくな。ひつようなのうりょくやしかくをもっている。
product,製品、産物。製造されたもの、生産されたものを指します。,せいひん、さんぶつ。せいぞうされたもの、せいさんされたものをさします。
disagree,反対する。意見や判断が一致せず、異なる見解を持つことを意味します。,はんたいする。いけんやはんだんがいっちせず、ことなるけんかいをもつことをいみします。
tale,物語、昔話,ものがたり、むかしばなし
memorandum,覚書、備忘録,おぼえがき、びぼうろく
expertise,専門知識、熟練,せんもんちしき、じゅくれん
genuine,本物の、偽りのない,ほんものの、いつわりのない
consult,助言や意見を求めて話を聞く、相談する。,じょげんやいけんをもとめてはなしをきく、そうだんする。
get through,突破する、乗り越える。困難な状況を克服する際によく使われる表現。,とっぱする、のりこえる。こんなんなじょうきょうをこくふくするさいによくつかわれるひょうげん。
president,社長、学長、大統領。組織のトップを指す。企業ではcompany president、CEO(最高経営責任者)とも。,しゃちょう、がくちょう、だいとうりょう。そしきのとっぷをさす。きぎょうではcompany president、CEO(さいこうけいえいせきにんしゃ)とも。
repeatedly,繰り返し起こる様子。,くりかえしおこるようす。
belongings,所有物、持ち物のこと。,しょゆうぶつ、もちもののこと。
procurement,必要な物資の調達活動。,ひつようなぶっしのちょうたつかつどう。
education,知識や技能を習得するための教育。,ちしきやぎのうをしゅうとくするためのきょういく。
rent,住居の賃貸借契約。,じゅうきょのちんたいしゃくけいやく。
section,部門、特定の範囲や領域。,ぶもん、とくていのはんいやりょういき。
electrical,電気の、電気による,でんきの、でんきによる
arms,武器、兵器、腕,ぶき、へいき、うで
mortality,死亡数、または死亡率。,しぼうかず、またはしぼうりつ。
sector,分野、特定の業界。,ぶんや、とくていのぎょうかい。
mayor,市長。市の行政を統括する責任者。,しちょう。しのぎょうせいをとうかつするせきにんしゃ。
pharmaceutical,医薬品の、製薬の,いやくひんの、せいやくの
scenic,風光明媚な、景勝地の,ふうこうめいびな、けいしょうちの
laboratory,実験や研究の場。,じっけんやけんきゅうのば。
clerk,事務員、店員、職員,じむいん、てんいん、しょくいん
casual,リラックスした、形式的でない。,りらっくすした、けいしきてきでない。
combat,戦闘、格闘、戦う,せんとう、かくとう、たたかう
verify,確認する。情報や状況の真実性や正確性を調べて確認すること。,かくにんする。じょうほうやじょうきょうのしんじつせいやせいかくせいをしらべてかくにんすること。
era,特定の特徴を持つ時代。,とくていのとくちょうをもつじだい。
fellow,仲間、同僚、男性,なかま、どうりょう、だんせい
whenever,する時はいつでも。特定の条件が満たされるたびに、または任意の時点で。,するときはいつでも。とくていのじょうけんがみたされるたびに、またはにんいのじてんで。
unite,結合する、団結する,けつごうする、だんけつする
rapidly,急速に、素早く,きゅうそくに、すばやく
delegate,権限を委任する、代理を立てる,けんげんをいにんする、だいりをたてる
unlike,～とは違って、～と異なり。比較対象との違いを強調する。,~とはちがって、~とことなり。ひかくたいしょうとのちがいをきょうちょうする。
achievement,達成。努力や技能によって成し遂げられた重要な成果や業績。,たっせい。どりょくやぎのうによってなしとげられたじゅうようなせいかやぎょうせき。
grocery,食料品店、食料品、日用品。,しょくりょうひんみせ、しょくりょうひん、にちようひん。
exchange rate,為替レート。通貨の交換比率。,かわせれーと。つうかのこうかんひりつ。
isolate,他と切り離す。,ほかときりはなす。
condition,条件、または状態。特定の状況や要求を指す言葉です。,じょうけん、またはじょうたい。とくていのじょうきょうやようきゅうをさすことばです。
previously,それ以前の時点では,それいぜんのじてんでは
decide,決定する、判断を下すこと。ある選択肢を最終的に選ぶことです。,けっていする、はんだんをくだすこと。あるせんたくしをさいしゅうてきにえらぶことです。
incorrect,間違った、不正確な、誤りの。,まちがった、ふせいかくな、あやまりの。
device,機器、装置。特定の目的で使用される機械や器具を指します。,きき、そうち。とくていのもくてきでしようされるきかいやきぐをさします。
fruitful,実り多い、生産的な,みのりおおい、せいさんてきな
lark,無邪気な戯れや冗談、遊び。,むじゃきなたわむれやじょうだん、あそび。
ascend,上昇する、登ること。,じょうしょうする、のぼること。
consequential,重要な、結果として生じる,じゅうような、けっかとしてしょうじる
corporation,法的に認可された会社組織。,ほうてきににんかされたかいしゃそしき。
blot,しみ、汚点、汚す,しみ、おてん、よごす
enthusiasm,熱意、熱心さ。物事に対する強い関心や情熱。,ねつい、ねっしんさ。ものごとにたいするつよいかんしんやじょうねつ。
population,人口、住民、個体数,じんこう、じゅうみん、こたいすう
picturesque,風景画のように美しい、絵になる,ふうけいがのようにうつくしい、えになる
inflation,物価上昇、通貨価値低下,ぶっかじょうしょう、つうかかちていか
dialect,方言、地域特有の言語,ほうげん、ちいきとくゆうのげんご
outsider,ある集団やコミュニティに属さない部外者。,あるしゅうだんやこみゅにてぃにぞくさないぶがいしゃ。
introduction,初めての紹介、序章、導入部,はじめてのしょうかい、じょしょう、どうにゅうぶ
recognition,認識、認知。物事を理解し、認めること。また、表彰や評価の意味も。,にんしき、にんち。ものごとをりかいし、みとめること。また、ひょうしょうやひょうかのいみも。
consecutive,連続した。中断することなく続く。,れんぞくした。ちゅうだんすることなくつづく。
religion,宗教、信仰,しゅうきょう、しんこう
waive,権利放棄する、免除する,けんりほうきする、めんじょする
chemistry,化学、相性,かがく、あいしょう
brain,脳、頭脳。知性や思考力の象徴としても使用。「彼は優れたbrainの持ち主だ」,のう、ずのう。ちせいやしこうりょくのしょうちょうとしてもしよう。「かれはまされたbrainのもちぬしだ」
industry,産業、工業。製品を製造したり、サービスを提供する事業。,さんぎょう、こうぎょう。せいひんをせいぞうしたり、さーびすをていきょうするじぎょう。
made,作った。何かを作り出したことを表す動詞の過去形。,つくった。なにかをつくりだしたことをあらわすどうしのかこけい。
bold,大胆な、勇敢な、太字の,だいたんな、ゆうかんな、ふとじの
overall,全体的な、または総合的な。細部ではなく、大局的な見方を表します。,ぜんたいてきな、またはそうごうてきな。さいぶではなく、たいきょくてきなみかたをあらわします。
term,期間、専門用語。一定の時間の長さ、または特定の分野で使用される特殊な言葉。,きかん、せんもんようご。いっていのじかんのながさ、またはとくていのぶんやでしようされるとくしゅなことば。
prefer,好む。いくつかの選択肢の中から特定のものを他のものよりも好むことを意味します。,このむ。いくつかのせんたくしのなかからとくていのものをほかのものよりもこのむことをいみします。
dedicated,捧げた、専念した。特定の目的や対象に全力を注ぐこと。,ささげた、せんねんした。とくていのもくてきやたいしょうにぜんりょくをそそぐこと。
rift,亀裂、不和、断絶,きれつ、ふわ、だんぜつ
tenure,任期、在職期間、保有権,にんき、ざいしょくきかん、ほゆうけん
throne,王位、王が座る椅子。,おうい、おうがすわるいす。
proprietor,事業や物件の所有者。,じぎょうやぶっけんのしょゆうしゃ。
invitation,招待。人や組織が他者に対してイベントや場所への参加を求める行為や文書。,しょうたい。にんやそしきがたしゃにたいしていべんとやばしょへのさんかをもとめるこういやぶんしょ。
increase,増加させる、増える。,ぞうかさせる、ふえる。
comprehensive,包括的な。すべての要素を含む、広範囲にわたる。,ほうかつてきな。すべてのようそをふくむ、こうはんいにわたる。
extinction,絶滅、消滅、死滅,ぜつめつ、しょうめつ、しめつ
implied,暗示した、明言せずに示した。,あんじした、めいげんせずにしめした。
purse,財布、小物やお金を収納するための袋。,さいふ、こものやおかねをしゅうのうするためのふくろ。
statesman,政治家、国家指導者,せいじか、こっかしどうしゃ
confine,範囲を限定する。,はんいをげんていする。
pursue,追求する、追跡する,ついきゅうする、ついせきする
fortunate,幸運な。恵まれている、幸せな。,こううんな。めぐまれている、しあわせな。
legible,文字が読みやすい、判読可能な,もじがよみやすい、はんどくかのうな
comprise,含む、構成する、成る,ふくむ、こうせいする、なる
give up,諦める。,あきらめる。
demand,需要。特定の製品やサービスを必要とすること、または必要とする人々の総数を指します。,じゅよう。とくていのせいひんやさーびすをひつようとすること、またはひつようとするひとびとのそうすうをさします。
mathematics,数学、算数。数量や図形を研究する学問。代数学や幾何学なども含む。,すうがく、さんすう。すうりょうやずけいをけんきゅうするがくもん。だいすうがくやきかがくなどもふくむ。
reimburse,払戻す。支払ったお金を後で払い戻すこと。,はらいもどす。しはらったおかねをあとではらいもどすこと。
sue,法的手段で訴えること。,ほうてきしゅだんでうったえること。
regret,後悔する、過去の選択に対する残念な気持ち。,こうかいする、かこのせんたくにたいするざんねんなきもち。
eventually,最終的に。長い時間がかかっても最終的に到達する状態を指します。,さいしゅうてきに。ながいじかんがかかってもさいしゅうてきにとうたつするじょうたいをさします。
vulnerable,弱い、傷つきやすい,よわい、きずつきやすい
resemble,似ている、類似している,にている、るいじしている
familiar,見慣れた、よく知っている。,みなれた、よくしっている。
blend,複数のものを調和よく混ぜる,ふくすうのものをちょうわよくまぜる
dim,薄暗い、光が少ない。,うすぐらい、ひかりがすくない。
inconvenience,不便さ、迷惑、支障。,ふべんさ、めいわく、ししょう。
fairly,かなり、公平に。物事の程度が相当であり、偏りがないことを意味します。,かなり、こうへいに。ものごとのていどがそうとうであり、かたよりがないことをいみします。
sentiment,感情や考えの表現。,かんじょうやかんがえのひょうげん。
treatment,病気や問題への対処法。,びょうきやもんだいへのたいしょほう。
remarkable,目立った、際立った,めだった、きわたった
wit,機転、知性、ユーモア,きてん、ちせい、ゆーもあ
variety,多様性、異なる要素が多く含まれること。,たようせい、ことなるようそがおおくふくまれること。
broom,ほうき、箒,ほうき、そう
appear,現れる、～のように見える。appear to be(～のように見える)、make an appearance(姿を見せる)など。,あらわれる、~のようにみえる。appear to be(~のようにみえる)、make an appearance(すがたをみせる)など。
preference,好み、選好すること。,このみ、せんこうすること。
motion,物体の移動や運動。,ぶったいのいどうやうんどう。
emphasis,強調、重点,きょうちょう、じゅうてん
fluid,流動的な、液体の,りゅうどうてきな、えきたいの
inform,知らせる。情報を伝えることや、事実を報告することを意味します。,しらせる。じょうほうをつたえることや、じじつをほうこくすることをいみします。
constant,絶え間なく続く。常に変わらない、継続的な。,たえまなくつづく。つねにかわらない、けいぞくてきな。
municipal,市政の。都市の行政に関する。,しせいの。としのぎょうせいにかんする。
acknowledged,正式に認めた状態。,せいしきにみとめたじょうたい。
fulfill,実現する、達成する,じつげんする、たっせいする
proud,成果や他人を誇りに感じている。,せいかやたにんをほこりにかんじている。
bottom,底、下部、最下部,そこ、かぶ、さいかぶ
upset,動揺する、混乱する、計画を狂わせる。,どうようする、こんらんする、けいかくをくるわせる。
exert,行使する、力をかける。,こうしする、ちからをかける。
prospect,将来の見通しや期待。,しょうらいのみとおしやきたい。
attitude,態度、姿勢。物事に対する心構えや接し方。,たいど、しせい。ものごとにたいするこころがまえやせっしほう。
news,ニュース、報道、新情報,にゅーす、ほうどう、しんじょうほう
hourly,毎時間の、時間給の,まいじかんの、じかんきゅうの
accumulate,累積する、集める,るいせきする、あつめる
subscription,処方箋、定期購読。サービスを定期的に受けるための契約や支払い。月額会員など。,しょほうせん、ていきこうどく。さーびすをていきてきにうけるためのけいやくやしはらい。げつがくかいいんなど。
debug,デバッグする。プログラムやシステムの不具合を特定し修正すること。,でばっぐする。ぷろぐらむやしすてむのふぐあいをとくていししゅうせいすること。
success,目標達成、良い結果,もくひょうたっせい、よいけっか
persuade,説得する、納得させる、勧める。,せっとくする、なっとくさせる、すすめる。
