thousand,千、千の
hand down,を伝える、を降ろす
paycheck,定期的に支給される給料。
virus,感染症を引き起こすウイルス。
drama,劇
vacant,空いている、使用されていない状態
at risk,危険な状態で
later on,後で
splice,組み継ぎする、繋ぐ、接合する
dough,パン生地
overtake,を追い越す、追いつく
leave off,脱いだままでいる、着ずにいる、脱衣したまま、着るのをやめる
maintain,維持する、保つ、主張する。
suspense,不確かな状態
determination,決意や決定力。
take A away from B,BからAを取る、BからAを除外する
trifle,ささいなこと
understand,理解する、または納得する。知識や意味を把握していることを表します。
at will,思いのままに
figure,データを示す図や表。
very,非常に
visually,視覚的に、目で見て
vituperate,激しく非難する、罵倒する
negligent,怠慢な
bloom,花が咲く、繁栄する
get up,起きる
wad,柔らかい塊
hazy,霞んだ
tenderize,柔らかくする
vested,既得の
attitude,態度、姿勢。物事に対する心構えや接し方。
spite,意地悪、悪意
inquire,尋ねる。情報や説明を求めて質問したり調査したりすること。
bring on,を引き起こす、を発生させる
heart,心
sightseeing,観光、見物、遊覧。
egalitarian,平等主義者
socially,社会的に、社会的観点から
complication,合併症、複雑な問題
manure,肥料、施肥物
anxious,心配して、不安な
specious,見掛け倒しの、尤もらしい
although,～だけれども、～にもかかわらず。thoughよりもフォーマルな接続詞。
assertive,断定的な
inquire after,の安否を尋ねる、を見舞う
obedient,従順な、素直な
wrangle,口論する、議論する
swift,素早く、迅速に行動する。
up front,前もって、率直に
emotionally,感情的に、情緒的に
neural,神経の、神経系の
collapse,崩壊する、つぶれる
almighty,全能の
priority,優先順位、重要度
pod,さや、刃物の保管用ケース、植物の部分
vociferous,騒々しい
lengthy,長い、冗長な
grandchild,孫、孫息子・孫娘
check for,を調べる、確認する
attention,集中して何かに注意を向けること。
appalled,不安でいっぱいの
swoon,気絶、失神
demand,需要。特定の製品やサービスを必要とすること、または必要とする人々の総数を指します。
demerger,企業分割、分社化
counsel,法律的助言を行う専門家。
make a difference,違いを生む、差をつける
hang out,くつろぐ、リラックスする
obliterate,抹消する、消去する、線を引いて消す
impotent,無力な、無気力な
gall,憎しみ、胆汁
every year,毎年
impetuous,猛烈な
toll,道路通行にかかる料金。
divorce,離婚、夫婦関係の解消
spring from,から生じる、から生まれる
flawless,完璧な
in substance,実質上、実際には、事実上
diabolic,悪魔のような
chest,たんす、チェスト
wake up,目を覚ます
consistent,一貫した、矛盾のない
for instance,例えば、たとえ〜としても
persecute,迫害する、圧迫する
be unlikely to,起こりそうにない
further,それ以上の、追加の。既存のものにさらに加えることを意味します。
ointment,軟膏
periodical,一定の周期で発行されるもの、定期刊行物。
foreground,前景、背景
blatant,露骨な、あからさまな
scoff,嘲笑する、あざ笑う
compel,他の人を強制的に行動させること。
understaffed,人手不足の、必要なスタッフが不足している。
embarrassment,困惑、当惑
scoop up,すくい取る、くみ上げる
facetious,ふざけた
ring a bell,思い出させる、聞いたことのある
disclose,公開する、明らかにする
deprivation,剥奪、取り上げ
necessary,必要な、または不可欠な。目的を達成するために欠かせないことを意味します。
fall asleep,眠る
summon,人を呼び出す、召喚する。
acoustic,音響の、聴覚の
rein,手綱、馬具
oblique,斜めの
chairman,会長、議長。組織や会議の責任者。
frankly speaking,率直に言うと、はっきりと言って、正直に言って、素直に言えば
length,物体の長さを示す。
remote,遠い、遠隔の
pathology,病理学、疾病学
grocery,食料品店、食料品、日用品。
faithfully,忠実に従って。
thick,厚い、肥厚な
stay in touch with,と連絡を取り続ける、絶えず連絡する、つながりを保つ
for the benefit of,のために、の(利益の)ために
pond,池、小さな水たまり。
rainforest,熱帯雨林。熱帯地方に見られる、年中湿潤な森林生態系。
in token of,の証拠に、のしるしとして
furnishing,家具の配置
keep one's fingers crossed,幸運を祈る
keynote,主要なテーマや要点。
peak,頂上、最も高い部分や点。
fallacy,誤信、誤解
coincide,同時発生する、一致する
vouch for,を保証する、約束する
pile,積み重ね、累積
characteristic,特有の、独特の
timidity,臆病、怯える
disheveled,乱れた
enclosed,同封された。手紙や書類と共に他の書類や物が一緒に封入されている状態を指します。
soft,柔らかい
litigant,係争中の
annually,毎年の、年一回ずつ
interpret,を解釈する、受け取る
cease,やめる、中止する
folklore,民話
bear fruit,実を結ぶ、効果を生み出す
reserved,事前に予約されている。
far cry from,叫び声から遠い、からほど遠い
ballot box,投票箱
feed on,にエサをやる、(～を)えさとする
pigment,顔料、色素
vibrant,活気のある
sarcastic,皮肉な、嫌みの
bosom,乳房、胸
communion,親交
sit by,傍観する、見物する、見守る
lift off,離陸する、飛び立つ
kind,親切な、種類の。
porridge,おかゆ
affordable,値段が手頃な。多くの人が無理なく購入できる程度の価格である状態。
omnivorous,雑食の
voter,選挙権を持つ投票者
aim at,を狙う
verge,寸前、境界
mention,言及する、述べる。
brightness,輝度、明るさ
jeopardy,危機、窮地
bankrupt,破産した、支払不能の、破産者。
bloated,むくんだ
wholesale,卸し、卸売り取引。
prevent A from B,AをBから防ぐ、AをBから保護する、AをBから妨げる
arrive at,に到着する
ultimately,最終的に、結局は。
throng,群衆、群れ
extend,延長する。時間、空間、または範囲を広げたり、長くしたりすること。
idiotic,ばかげた
confess,を打ち明ける、白状する
bake,オーブンで焼く調理法
greet,を出迎える、に挨拶する
weed,雑草、有害植物
steal the show,話題をさらう、人気をさらう
clockwise,時計回りに、右回りに
quizzical,訝しげな
howl,強い感情を伴う遠吠えや叫び。
ebb,衰退、引き潮
parsimonious,けちな、吝嗇な
break through,突破する。困難な状況を克服して前に進むときによく使う。
marble,石材として使われる滑らかで硬い大理石。
heyday,全盛期、最盛期
conversation,会話や対話。複数の人が互いに意見や考えを交わすコミュニケーションの形です。
oath,誓い、誓約
iterate,反復する。プロセスや手順を繰り返し実行して改善を図ること。
balm,香油
harmonize,調和させる、音を合わせる
warehouse,倉庫、保管庫。商品や物資を保管しておく建物。
language,言語、人が考えや情報を伝えるための手段。音声、文字、またはその他の記号を使用する表現方法です。
maverick,異端者、外道
burn out,を焼き尽くす、燃え切る、火で追い出す
aboveboard,公明正大な
marsh,沼地、湿地
strew,ばらまく、散布する、拡散する
hold true,有効である
external,外部に関すること。
gospel,福音
laboratory,実験や研究の場。
make for,へ向かう、に役立つ
propagate,広める、拡大する
turn in,提出する
care,注意する、世話する
fat,太った、肥満した
bump into,に突き当たる、偶然会う
derive from,から派生する
therefore,したがって、だから。前述の理由や状況から導かれる論理的な結論を示す接続詞。
economic growth,経済成長。国民経済の規模が拡大すること。
asylum,亡命、亡命者、亡命生活
torpid,不活発な、鈍い
disgusted,むかついた
hypertension,高血圧、高血圧症
development,開発、成長、発展段階
mummy,ミイラ、古代の遺体
pantry,食料品室、食品庫
reach out,手を延ばす、手を差し出す
bring A home to B,AをBに実感させる
pay down,頭金として払う、即金で払う
transition,遷移、ある状態から別の状態に移ること。
taxpayer,納税者
mete out,分配する、割り当てる
just,ちょうど
sport,スポーツ
mock,をあざ笑う、ばかにする
be incapable of,出来ない、不可能な
apologize,謝罪する。間違いや不適切な行動について謝り、許しを求めることを指します。
accusation,非難や責め、告発。
orientate,方向性を定める
wicker,小枝
cataract,瀑布
pillage,略奪
effort,努力、奮闘。目標達成のために払う労力や試み。
gorge,峡谷、谷間
in stock,在庫あり、在庫のある
hefty,重い、沈重な
fleeting,つかの間の
entertaining,楽しませる、面白い内容の
city,市
construe,解釈する、解明する
tread,注意して歩く、踏み入れる。
per,～につき、～あたり、一人当たり
critics,批評家、評論家たち
forcible,強制的な、強い
be weary of,にうんざりしている、飽き飽きしている
billboard,看板、特に広告用の大きな表示板。通行人や車に向けて広告を表示する目的で設置されます。
be tired from,で疲れる
ease,簡単さ、楽さ、気楽さ
electrify,帯電させる
hive,ミツバチの巣箱、巣箱のミツバチの群れ
apprehensive,心配した、気になる
turmoil,騒動、混乱、騒ぎ
tantrum,かんしゃく
lawyer,弁護士。法律に基づいて人々を支援したり、法的な助言を行う専門家を指します。
dioxide,二酸化物
lap,ひざ、膝小僧
be thought to,だと考えられている
coroner,検死官、法医
stock,株式、商品在庫、蓄える
whirlpool,渦巻
doze off,うとうと眠りに落ちる
heed,注意する、気を付ける
parking lot,駐車場、停車場、車を停める場所
ultraviolet,紫外線の、UVの
adequately,適切に、十分に
procedure,手続き、手順。物事を進める際の決められた方法や順序。
watchdog,番犬
by dint of,によって、の力で
consecutive,連続した。中断することなく続く。
night,夜
no better than,と変わらない、同じぐらい悪い
stay with,～と一緒に過ごす
receptive,受容性のある、受け入れ可能な
political platform,政策綱領
apprenticeship,見習い期間、徒弟修業
give away,無償で配る、暴露する
salute,に敬礼する
rumor has it that,噂によると、らしい、との噂である
theoretical,理論上の、理論に基づいた
payroll,給与支払名簿、給与計算
tax,税。政府が公共サービスを提供するために個人や企業から徴収する金銭を指します。
get down to,に本気で取り掛かる
acknowledgement,承認、認可
slight,わずかな、些細な、軽微な。
precise,正確な。誤差が少なく、正確で詳細なことを指します。
barge in,入り込む、押しかける
sophisticated,洗練された、複雑で高度な
make sense,理にかなっている、筋が通る。「その説明は納得できる」という意味で頻出。
break,壊れる 破る
matthew,男性名、良く見かける
nose,鼻
renegade,反逆者、反乱者
loquacious,おしゃべりな、多弁な
slovenly,だらしない
dog,イヌ
legitimate,正当な
lease,不動産などを期限付きで貸借する
paragraph,段落。文章を構成するまとまった部分。
orient,東洋に関連する、または向きを合わせること。
unfurl,広げる
organized,整理されて計画的な。
outspoken,率直な
twilight,日の入り直後の薄暗い時間帯、黄昏時。
distaste,嫌悪、いや気
mirth,陽気
tired,疲れて
every other,一つおきの
dominant,支配的な
cartilage,軟骨
keep A out of B,AをBに入れない、AをBに含めない
commodity,商品、日用品
condescend,謙遜する
issue,問題、または課題。解決が求められる重要な事柄やトピックを指します。
referral,紹介、推薦
thousands,何千もの、数千の。非常に多くの数を表現する際に使用。
regard A as B,AをBと見なす
city break,都市観光旅行
undesirable,望ましくない、好ましくない状況。
synthesis,統合、統一
consistency,一貫性、一致
irrelevance,無関係、見当違い
fretting,イライラしている
to the full,いっぱいに、心ゆくまで
skinny,やせこけた
plumb,おもり
entrance ceremony,入学式
business card,名刺、連絡先カード。
moribund,瀕死の
compete,他者と競争する行動。
acquiescence,黙認
regular,通常の、あるいは特別ではない普通の状態。
frugality,倹約
rasp,やすり
jihad,聖戦、宗教的な戦争
invest A in B,AをBに投資する
passive,受身の、消極的な
be awake,目を覚ましている、覚醒している
odds and ends,がらくた、半端なもの
simultaneous,同時の、同時に起こる
retina,網膜、眼の内部の膜
preserved,保存された、保管された
revamp,改修する、修復する
classy,上品な、優雅な
junior high school,中学校
prosperous,繁栄している、裕福な
bid,入札する、値をつける
integrated,統合された、一体化した
scruple,良心の呵責
bought,買った
overt,明白な、公然の
indicator,指標、表示器
reschedule,計画を変更すること。
erratic,不安定な
headlong,真っ逆さまに
run through,ざっと見る
disposable,使い捨ての、一回きりの
nurse,看護師
immigrant,他国から移住した人。
administration,組織の運営機関。
rear,後部の、後ろの、背後の
river,川、河川、流れ
stick,棒、くっつく、固執する
vengeance,復讐、報復
glum,ふさぎ込んだ
digest,消化する。食べ物を体内で分解し吸収すること、または情報を理解し処理すること。
not to say,とは言わないまでも
break down,分解する、故障する。「複雑な問題を小さな部分に分解する」「システムが故障した」など。
be bound to,必ず～する
cache,貯蔵庫、保存場所
get tired,疲れる
January,1月
hone,砥石
transferable,譲渡可能な、移転できる
heresy,異説、違う意見
blasphemy,冒涜
division,部門、区分。組織や概念を分ける単位。
fall short,足りていない
resume,中断されたことが再び始まる
fellow,仲間、同僚、男性
plagiarism,盗用、窃取
reply,返事、反応として応答する。
Why don't you,～してはどうですか？
be inclined to,する傾向がある
fulfillment,計画や義務の実行、または成し遂げること。
ore,鉱石、鉱物
essay,論文、随筆
wheat,食用の穀物。
lubricate,潤滑させる
go on,続ける
welsh,踏み倒す
chide,叱る、怒る
federation,複数の組織や国が連合した組織体。
puff,軽く吹くこと、一吹き
feather,鳥の羽、羽毛
persuasive,説得力のある
rumor,うわさ
revert,元の状態に戻る、復帰する
actions speak louder than words,行動が物語る
palliate,緩和する、軽減する
hurry,急ぐ
salesperson,商品を販売する担当者
mitigate,和らげる、柔らかくする
preoccupation,没頭、集中すること、夢中
scarce,希少な、不足している
menu,食べ物のリスト
compulsory,強制的な、必須の、義務付けられた
wear and tear,磨耗、摩滅
confuse,を混乱させる、区別がつかない
no matter,に関係なく
blame,を非難する、批判する
mellow,豊潤な、熟した
electronic,電子。電気で動作するデバイスやシステムに関するものを指します。
volition,意志
librarian,図書館員
senior,ポストが上の・年上の人
bound for,行きの、向けの
victory,競争や戦いでの勝利。
discouragement,落胆、失意
crack,亀裂、物体の表面にできた割れ目。
March,3月
contractual,契約上の
selected,選択した、特定のものを選び取った。
pseudo,偽りの
injury,怪我、損傷、被害
stamina,長時間の持久力
disciple,弟子
creation,創造、創作
boring,つまらない
expanse,広がり
raucous,耳障りな、騒々しい、うるさい
soar,急上昇する、舞い上がる
audience,観客、視聴者、聴衆
a variety of,いろいろな、さまざまな
stand down,身を引く、引退する
announce,発表する。公式に知らせること。
eradicate,根絶する、撲滅する
crash down,崩れる、台無しになる、崩壊する
tale,物語、昔話
jet lag,時差ぼけ
mason,石工、石匠
on second thought,考え直してみると、再考した結果
sincerity,誠意、誠実
wilt,しおれる、萎む、元気をなくす
wait for,を待つ、を待ち受ける
fur,毛皮、動物の毛
enthusiastically,情熱を持って行動する様子。
ascend,上昇する、登ること。
juxtapose,並置する、並べる
girlfriend,女友達、女の友人
susceptible,簡単に影響を受ける。
archaic,古風な、すたれた
exponent,解説者
if,もし～ならば。条件を示す言葉で、「もし～という条件が成り立つならば」という意味です。
rouge,口紅
converse,逆の
anterior,前部の
be intent on,に懸命である
meticulous,細心の、慎重な
at issue,問題の、未解決の
colonel,大佐
gaffe,失策
college,高等教育機関の一種。
in contrast with,とは対照的に、～に対して
coffin,棺桶
influencer,影響力のある人
repercussion,反響、反応、反射
stare at,をじっと見つめる、を凝視する
sustainable,存続可能な、持続可能な
monopoly,独占、専売
expense,出費、費用。お金がかかること、または支出することを意味します。
gender,性別、性
hourly,毎時間の、時間給の
tantalize,じらす
contour,輪郭
assistance,援助、手助け、支援
examiner,ある対象を審査または評価する人。
in a breath,一息で、一気に
trained,特定スキルを習得した。
tear up,引き裂く、引き剝がす
historic,歴史的価値がある、重要な
facade,正面、真正面
indistinct,不明瞭な、ぼやけた
canine,犬の、犬用の
tighten up,締め付ける
lenient,寛大な、寛容な
union,組合や団体。共通の目的を持つ人々が集まって形成される組織を意味します。
encourage,奨励する。相手に対して特定の行動をとるように勧めたり、支持したりすることを意味します。
bowl over,を打ち倒す、仰天させる
folly,愚かで判断に欠けた行動や考え。
legally,法律に従って行動する。
colloquial,口語の、話し言葉の
unfold,を展開する、広げる
deflect,そらせる、ゆがめる
including,～を含めて、またはその中に含まれているもの。
predisposition,素因
treat,対応や処理を行う。
decadence,退廃
whimper,しくしく泣く
biopsy,生体組織検査、生体サンプル検査
zoo,動物園
conceited,うぬぼれた
in short,つまり、要するに
representation,自分を他者に表現すること。
as it happens,それが起こるとき、その際に
conform,従って行動する、考える
abstraction,抽象的
arduous,骨の折れる、困難な
with a smile,笑顔で
fuzzy,はっきりしていない、ぼやけた様子。
in good shape,好調である
exhibit,展示する(美術館などで)、示す
preparation,準備、用意、予習
bring up,育てる、話題に出す。「その話は会議で持ち出すつもりです」など。
on behalf of,の代わりに、代わって
leftovers,残り物
out of breath,息切れして
civilian,民間人、一般市民
well-being,健康と幸福
bastion,要塞、城塞、砦
amber,化石樹脂の一種。
headache,頭痛
backlash,激しい反発、強い反響
bellicose,好戦的な、攻撃的な
disappoint,がっかりさせる、失望させる
faulty,欠点や不具合のある状態。
be suited to,に適している
decrepit,老朽化した
yawn,大きくあくびをする行為。
sometimes,時々
ruin,を台無しにする、破滅する・破滅
cutting-edge,最新の、最先端の技術
roll out,展開する、公開する。新製品やサービスを市場に投入する際によく使用される表現。
ambiance,雰囲気、ムード
not at all,全くない
sluggish,鈍い、遅い
tariff,関税
alternative,代替となるもの、他の選択肢や方法。
busy,忙しい、手が離せない
set,置く
sniff out,見つけ出す、嗅ぎつける
imply,暗に示す、ほのめかす、含意する
manufacturer,製造者、製造会社。製品を作る企業や個人。
failure,故障、失敗。期待された結果が得られないこと。
smart,頭の良い、きちんとした
taunt,罵倒する、侮辱する
popularity,人気、知名度。多くの人々に好まれている度合い。
differ from,とは違って、との違い
noxious,有害な
workplace,職場、仕事をするための場所。
be eager to,したいと強く願う
assurance,確約、保証、自信
militantly,好戦的に
hold off,を寄せ付けない、引き離す
arbitration,第三者による紛争解決。
on and off,断続的に
asunder,バラバラに
precious,貴重な、大切な。価値が高いとされるものや、かけがえのないものを意味します。
enforcement,法律や規則の施行、執行
shoplift,を万引きする
ghastly,恐ろしい、怖い、恐ろしいほど
attorney,弁護士、検事、代理人
graduate,を卒業する、を修了する
survey,調査、アンケート。
delicacy,優美さ、精巧さ
likewise,同様に。同様に、同じように。
mango,マンゴー
living water,命の水
not surprisingly,当たり前の事だが、もちろんのことだが、当然のことながら
fall in love with,と恋に落ちる
ensconce,快適に座る
kettle,やかん、湯沸かし
tub,水や液体を入れるための桶。
urn,骨壷
within distance,とどく距離に
in touch,連絡中、連絡が取れて
satisfy,を満足させる、を喜ばせる
be equipped with,を備えている
lavatory,洗面所
girl,少女
newspaper,新聞
preferred,好んだ、優先して選んだ。
commencement,開始
internship,実習、研修期間。
intensity,強度、強烈さ
debase,堕落させる、道を踏み外させる
brandish,振り回す、使う、利用する
troop,軍隊、集団
stagnation,停滞、滞止
exasperation,憤慨
Japan,日本。四季の美しさ、先進的な技術、伝統文化が融合した東アジアの島国です。
emotional,感情の、情緒の
capitalisation,資本化、大文字化
cashflow,現金流量、資金繰り
surmount,乗り越える
awkward,ぎこちない、不自然な様子。
concentration,集中、専念
style guide,スタイルガイド
malicious,悪意のある、意地の悪い
genial,親切で愛想のよい、親しみやすい
see A as B,AをBと見なす
transcription,転写、写す
treasurer,会計係
write out,書きつくす、書くことがなくなる
applied,応用した、適用した
get a kick out of something,何かから楽しみや興奮を感じる
himself,彼自身を
despotic,専制的な
all over,の至る所に
nuisance,迷惑なもの
admirable,賞賛に値する、立派な
spank,尻を叩く
austere,厳格な、厳重な
commemorate,祝う、特定の出来事を記念する。
exacerbate,悪化させる、悪くする
recall,呼び戻す、または思い出す。忘れていたことを再び思い出すことや、製品を回収することを意味します。
as a consequence,その結果として、従って
horse,馬
important,重要な、大切な。
hitch,引っかける
or,それとも
what's more,その上さらに
twirl,くるくる回る
cheery,陽気な、明るい
put A into practice,Aを実践する、実行する
slip by,そっと通り過ぎる、静かに通過する
semen,精液
rind,外皮
iconoclastic,偶像破壊的な、慣習を打破する
luckily,幸いなことに、幸運にも
under warranty,保証期間中、保証されている
inattentive,注意が散漫な、不注意な状態。
excuse,言い訳、弁解。自分の行動や失敗を正当化するための説明。
exchequer,国庫
acclaimed,高く評価された、称賛された
adhere,遵守する
tunnel,地下や山を通す通路
desolate,荒れ果てた
from A to Z,最初から最後まで、終始
exclamation,感嘆、叫び
adroit,器用な
by,のそばに、によって
cant,うわべの言葉
adhere to,にくっつく
attribute,特定の原因に帰すること。
acquire,技術や知識を習得する
useful,役に立つ。目的を達成するために価値があるものや役に立つ道具を指します。
impertinent,生意気な
boldly,大胆に
nostalgic,懐かしい
association,協会。共通の目的を持つ人々の団体や組織を指します。
retarded,発達の遅れた、遅滞している
activity,活動
truant,不登校
wrist,手首、そで口
in house,社内で、組織内で
gratuity,心付け
carpenter,木材を使う大工職人。
ridge,山の尾根部分、高い線状の地形。
senile,老年の
cheeky,生意気な、ずうずうしい
vessel,容器、器
deployment,展開、配備。ソフトウェアやシステムを実際の環境に導入すること。
avail oneself of,を利用する、を活用する
to no avail,無駄に、役に立たずに
impress,印象を与える。他人に強い感銘や好ましい印象を残すこと。
be full of,でいっぱいの
conviction,信念、確信
hashtag,キーワードのタグ
obtain,保つ。必要なものや望むものを手に入れることを指します。
pay off,全部払う、完済する
whether,～かどうか。ある選択肢についての疑問や選択肢を示す際に使います。
bump,こぶ、衝突
stop over,立ち寄る
sedative,鎮静効果のある
red,赤い
root out,根絶する、一掃する
experiment with,を試す、実験する
hamper,妨げる、邪魔する
forbidden fruit,禁じられたもの
charm,人を惹きつける魅力。
gross domestic product,国内総生産。一国の経済規模を示す最も重要な指標の一つ。
attribute A to B,AをBに依るものとする、AをBとみなす
stimulus,刺激、励み
ramen,日本の中華麺料理
alluring,魅惑的な
as A as any,Aで誰にも劣らず、Aで際立って
put,置く
religious,宗教上の、信仰の
demur,異議を唱える、反対する
faith,深い信頼と信仰。
venue,会場、開催地、現場
fortune favors the bold,勇者に幸運あり
state,述べる、状態、州。
entrenched,定着した
insurmountable,乗り越えられない
gubernatorial,総督の
coconut,ココナッツ
drainage,排水設備、排水方法
go after,を追いかける、を求める
fairness,公平さ、正義にかなった状態。
unequivocal,明確な
the,その
handcuff,手錠、人を拘束する装置
cosmic,宇宙の、宙域の
back out,取り消す、約束を破る、撤回する
espionage,スパイ活動、情報を秘密裏に収集する活動、陰謀活動
euphemism,婉曲表現、遠回しの表現
antitrust,独占禁止の
regurgitate,吐き戻す
exterior,外側、外観、外部の
misgiving,懸念、心配
result from,の結果として生じる
charity,慈善
perforate,穴を空ける
stroll,散歩する
skirmish,小競り合い、小さな争いや戦い
cunning,狡猾な、策略に長けた
depraved,堕落した
croissant,バターのデニッシュペストリー
let out,外に出す、解放する
relatively,他と比べて、相対的に
pass away,亡くなる
accord,一致する、調和する
unify,を一つにする、統一する
stepfather,継父、義父
specialize in,を専門にする、に特化する
dissent,異議を唱える、反対する
regardless,関係なく、にもかかわらず
inspector,検査官、監察官、調査官
porch,家の玄関先の屋根付き通路
forgive,を許す、大目に見る
specter,妖怪、妖精
penetration,貫通、一方から他方まで通過する
absolve,免除する、免許する
teenager,十代、少年期
on the decline,衰退中の、下降中の
downside,欠点や負の面。
offshoot,支流
be keen to,やる気がある、乗り気になっている
tomb,葬られた場所や構造。
cessation,中止
herbicide,除草剤
repeatedly,繰り返し起こる様子。
pore over,を凝視する、熟読する
tummy,おなか
melon,メロン
be poor in,不足している
at once,すぐに
greenhouse,温室、ビニールハウス
worthwhile,価値のある
extant,現存の
marketing,市場調査。製品やサービスを販売するために、市場の状況や顧客のニーズを調査すること。
get back to,へ戻る
aside from,の他にも
dishevel,振り乱す
block,を妨げる、を阻害する
agree with,に賛成である、支持する
city of lights,光の都(パリの愛称)
transaction,商取引、売買契約
grin,にやりと歯を見せて笑う
blow,吹く、打つ、打撃
petrol,ガソリン(英式)
elder,年上の、年長の
spruce,きちんとした、整った
protest,抗議する、反対運動
evening,夕方
pomp,華やかさ
frightful,恐ろしい
infringement,侵害、侵犯
calculus,結石、微分、積分
you,あなたは
sick,病気の、具合の悪い。健康状態が良くない様子。
terms,条件、期間、用語
plumber,配管工
as yet,今のところ、現状、現在点
one another,お互い
resist,抵抗する、反発する
sugar,砂糖
predominant,優勢な、有力な
keep in touch,連絡を取り合う。
streak,筋、連続
outlaw,法律違反者、無法者
abate,減少する、和らげる
associated with,と関連した、紐づいた
from time to time,時々、偶に
antarctic,南極の
leaden,鉛の
furnish,家具を備える、提供する
on,の上に
vulgar,下品な
sedate,落ち着いた
silent,静かな
five,5
task,課題、作業、仕事
reason,事象の理由や根拠。
all too,とても
break the ice,話の口火を切る、切り出す
author,著者。書籍や記事を書いた人を指します。
fall away,弱まる、落ちる
err,誤る、間違える
at present,現在は、今は
intimate,親密な、私的な関係の
in the abstract,理論上は、理論的には
extracted,抽出した、取り出した、引き出した。
turnpike,有料高速道路
member,会員。ある団体に属している人。
at a time,１度に、同時に
litigation,訴訟
personality,人格、性格
scores of,多数の～
implacable,和解しにくい、対立しやすい
interviewee,面接を受ける人
transient,一時的な
updated,更新された、最新の、新しくした
alleviated,軽減された
role model,お手本、模範
equip,に備え付ける、必要な道具や設備を提供する。
in the mood for,したい気分である、する気になっている
revive,復活する、生き返らせる
resources,資源、資産、財源
caustic,腐食性の
caprice,気まぐれ
harsh,厳しい、過酷な
wring,絞る
avatar,権化、象徴
judicious,賢明な
consequential,重要な、結果として生じる
extradite,引き渡す
turn over,をひっくり返す
five senses,五感、感覚器官
sprain,をくじく、捻挫する
local,地元の。特定の地域に限定された、地元の。
snap,パチンと鳴らす、カチンと鳴らす
volatility,揮発性、揮発しやすい
avid,熱心な
glance,ちらりと見る、一瞥
well-known,よく知られた、有名な
assortment,詰め合わせ、詰め物
first and foremost,まず第一に、真っ先に
policy,政策、方針。組織や政府が定めた方針。
industrialize,産業化する、工業化する
acronym,頭字語、初めの文字で作られる単語
chase,を追跡する、追いかける・追跡
and so on,などなど
modest,控えめな、謙虚な、適度な
intellectual,知的な、知識に関する
whitewash,しっくい、モルタル
generally,一般的に、概して
hoist,揚げる、炸製する
grade,評価
geography,地理、地理学
turn,曲がる、回る、変化する
laughable,失笑を買った、笑われた
implore,を懇願する
disseminate,広める、伝播させる
forget oneself,我を忘れる、夢中になる
up for,に参加しようとしている、参画しようとしている、加わろうとしている、に向けて意気込んでいる
cynical,皮肉な、冷笑的な
superstition,迷信
oblige,強制する、義務づける
so far,これまでのところ
avenue,並木道のある大通り
crass,鈍感な、無神経な
eclectic,エクレクティック
exhilarating,爽快にさせる
rumble,ゴロゴロ鳴る
devolve,譲り渡す、移譲する
sortie,出撃
in a word,手短に言えば
cling to,にしがみつく
inconvenient,不便な・都合の悪い
all set,準備万端
honor,名誉、栄誉。尊敬や称賛に値する行為や達成。また、敬意を表すことも。
scared,怖がって
recognize,認識する、認める、理解する
amid,〜の中で、〜の最中に
puppet,操り人形、指人形
brain,脳、頭脳。知性や思考力の象徴としても使用。「彼は優れたbrainの持ち主だ」
supportive,支援的な、協力的な
peach,桃
concentrate,集中する、専念する
be obliged to do,する義務がある、必要な行動
extinction,絶滅、消滅、死滅
cathedral,ゴシック様式の大聖堂
behavior,振る舞い、態度
lost,道に迷った、または方向を見失った状態。
liberty,自由、独立、権利
sterile,殺菌した、不妊の
give up,あきらめる
dawdle,ぐずぐずする、ぶらぶらする
convince,を納得させる、説得する
experimental,実験的な、実験の
primacy,優位性
devoid,欠けている、欠如している
concentrated,集中的な、特定の場所に多く集まる。
rudimentary,初歩的な
allegedly,伝えられるところによると、申し立てによると。
cut to the chase,要点にすぐに入る、遠慮せず話す
activate,作動させる、起動させる。
for sure,確かに、間違いなく
expose,隠れたものを明らかに。
so long,さようなら
emissary,密偵
queasy,吐き気のする
continuation,継続、持続
waiter,サービスする人
build out,構築する、増築する
ventilation,換気
possible,可能な、実行できる。
peninsula,陸地が水に囲まれた半島。
striking,印象的で目を引く。
eat away,食い荒らす、侵食する
glossy,光沢のある、つやのある
gruesome,ぞっとする
tremendous,驚異的な、すさまじい。非常に大きいまたは印象的な様子。
whirl,渦巻く、旋回する
rebate,払い戻し金、割戻し
stand,を我慢する
syringe,注射器
side,側、面
be concerned with,に関係している、関連している
equal,同等である状態。
cell,細胞、小部屋、電池
economic integration,経済統合。複数の国家経済が統合されていく過程。
surveillance,防犯や安全目的での監視。
deleterious,有害な、害を及ぼす
however,しかし、だけれども。文頭、文中、文末で使える接続語。
quorum,定数
edition,版、発行、刊行物
enigmatic,謎めいた、神秘的な
drowsy,眠い、うとうとしている
revolve,を回る、回転する
withdraw,を撤回する、引き下がる/引き出す
biased toward,に対する偏見、偏った見方
ease up,緩む、和らぐ
subsequent,その後の、続く
active,活動的な、活気のある
subdue,鎮圧する、抑制する
presidential,大統領の、総裁の
adamant,断固たる、固定的な
alternatively,代替として、または
bald,禿げた、無毛の
backpacker,貧乏旅行者
kick around,粗末に扱う、酷使する
outskirt,郊外、外れ
impersonate,役を演じる
thermometer,温度を測るための器具、温度計。
